Candidato;N;Partido;Coligacao;Votos;% Validos;status
ROBERTO DE LUCENA;4344;PV;;70.611;0,33%;eleito
DR. ∂NGELO;4345;PV;;16.815;0,08%;eliminado
PROFESSORA LALA TAVARES;4346;PV;;1.138;0,01%;eliminado
NATAN SOIHET;4347;PV;;2.718;0,01%;eliminado
ANA MARIA RODRIGUES;4348;PV;;1.091;0,01%;eliminado
ALTAIR DA ASSOCIACAO;4349;PV;;1.778;0,01%;eliminado
PAMPA;4350;PV;;7.342;0,03%;eliminado
WALTER FELIX;4351;PV;;1.562;0,01%;eliminado
JOSê ALEXANDRE RIBEIRO;4352;PV;;4.2;0,02%;eliminado
DANILO PARO;4353;PV;;1.465;0,01%;eliminado
J FARIA;4354;PV;;10.242;0,05%;eliminado
DONIZETI PEREIRA;4355;PV;;12.11;0,06%;eliminado
DEKKA;4356;PV;;4.001;0,02%;eliminado
NICE SOU A DIARISTA;4357;PV;;431;0,00%;eliminado
DRA LAURISA;4359;PV;;6.938;0,03%;eliminado
CARLINHOS SILVA;4360;PV;;12.721;0,06%;eliminado
PATRICIA DO MADA;4361;PV;;2.422;0,01%;eliminado
DR. GETÈLIO SERPA;4362;PV;;944;0,00%;eliminado
RICARDO IZAR;4363;PV;;87.347;0,41%;eleito
TERESA JAPONESA;4364;PV;;1.632;0,01%;eliminado
BERQUE;4365;PV;;7.04;0,03%;eliminado
DR. RAUL;4366;PV;;17.936;0,08%;eliminado
REGINA LAURA;4367;PV;;445;0,00%;eliminado
LAERTE MOLLETA;4368;PV;;6.352;0,03%;eliminado
LUIZA ELUF;4369;PV;;12.506;0,06%;eliminado
TECO;4370;PV;;41.703;0,20%;eliminado
DENADAI;4371;PV;;546;0,00%;eliminado
MARCOS TIBURCIO;4372;PV;;288;0,00%;eliminado
TANIA FERREIRA;4373;PV;;802;0,00%;eliminado
TURQUINHO;4374;PV;;1.457;0,01%;eliminado
DEISE NASCIMENTO;4375;PV;;868;0,00%;eliminado
HILDA MOTA;4376;PV;;0;0,00%;eliminado
VILSON ALVES;4377;PV;;43.873;0,21%;eliminado
DR. MµRCIO PAMPURI;4379;PV;;12.123;0,06%;eliminado
ANDERSON MENDONCA;4380;PV;;3.727;0,02%;eliminado
WILLIANS MARCOS;4381;PV;;626;0,00%;eliminado
SIDNEI ARANHA;4383;PV;;14.062;0,07%;eliminado
DR. SAULO;4384;PV;;4.963;0,02%;eliminado
SANDA SAMPAIO;4385;PV;;0;0,00%;eliminado
JOSE SILVêRIO;4386;PV;;651;0,00%;eliminado
PROFESSOR EVERALDO;4387;PV;;1.323;0,01%;eliminado
PROF SHIN;4388;PV;;6.067;0,03%;eliminado
AMAURY CAMARGO MONICO;4390;PV;;7.861;0,04%;eliminado
MARCELO SOARES;4391;PV;;184;0,00%;eliminado
DR. RODRIGO BARROCA;4392;PV;;462;0,00%;eliminado
EDUARDO PALHARES;4394;PV;;22.013;0,10%;eliminado
HENRIQUE NUNES;4395;PV;;35.922;0,17%;eliminado
PROF DIVANI SCHEIBE;4397;PV;;0;0,00%;eliminado
ELISABETE APARECIDA MOSQUEIRA;4398;PV;;246;0,00%;eliminado
VERA MOTTA;4399;PV;;3.232;0,02%;eliminado
