Candidato;N;Partido;Coligacao;Votos;% Validos;status
HELCIO SILVA;1315;PT;PRB / PT / PR / PC do B / PT do B;64.938;0,30%;eliminado
CARLINHOS ALMEIDA;1316;PT;PRB / PT / PR / PC do B / PT do B;134.19;0,63%;eleito
MISA BOITO;1317;PT;PRB / PT / PR / PC do B / PT do B;2.808;0,01%;eliminado
NEWTON LIMA NETO;1318;PT;PRB / PT / PR / PC do B / PT do B;110.207;0,52%;eleito
TEREZINHA RONDELLI;1319;PT;PRB / PT / PR / PC do B / PT do B;4.695;0,02%;eliminado
GERSON SARTORI;1320;PT;PRB / PT / PR / PC do B / PT do B;32.847;0,15%;eliminado
FILIPPI;1321;PT;PRB / PT / PR / PC do B / PT do B;149.525;0,70%;eleito
ARLINDO CHINAGLIA;1322;PT;PRB / PT / PR / PC do B / PT do B;207.465;0,97%;eleito
JO«O PAULO CUNHA;1325;PT;PRB / PT / PR / PC do B / PT do B;255.497;1,20%;eleito
FATIMINHA;1326;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
ROQUE FERREIRA;1328;PT;PRB / PT / PR / PC do B / PT do B;16.749;0,08%;eliminado
JO«O BATISTA;1329;PT;PRB / PT / PR / PC do B / PT do B;1.875;0,01%;eliminado
PIVATTO;1330;PT;PRB / PT / PR / PC do B / PT do B;34.359;0,16%;eliminado
RICARDO BERZOINI;1331;PT;PRB / PT / PR / PC do B / PT do B;140.525;0,66%;eleito
JOSê MENTOR;1332;PT;PRB / PT / PR / PC do B / PT do B;139.691;0,66%;eleito
PROF. CARL«O RAMIRO;1333;PT;PRB / PT / PR / PC do B / PT do B;36.899;0,17%;eliminado
FêLIX SAH«O;1334;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
ROGêRIO PINTO;1335;PT;PRB / PT / PR / PC do B / PT do B;3.994;0,02%;eliminado
TENENTE PAZ;1340;PT;PRB / PT / PR / PC do B / PT do B;3.235;0,02%;eliminado
RODRIGO VALVERDE;1344;PT;PRB / PT / PR / PC do B / PT do B;5.429;0,03%;eliminado
VANDERLEI SIRAQUE;1345;PT;PRB / PT / PR / PC do B / PT do B;93.314;0,44%;eleito
PAULO AFONSO;1347;PT;PRB / PT / PR / PC do B / PT do B;9.64;0,05%;eliminado
ELIANA MORAES;1348;PT;PRB / PT / PR / PC do B / PT do B;1.2;0,01%;eliminado
REINALDO;1349;PT;PRB / PT / PR / PC do B / PT do B;710;0,00%;eliminado
LUIZ CARLOS GOMES;1350;PT;PRB / PT / PR / PC do B / PT do B;4.28;0,02%;eliminado
DRA. SONIA DARCH;1351;PT;PRB / PT / PR / PC do B / PT do B;4.553;0,02%;eliminado
JILMAR TATTO;1353;PT;PRB / PT / PR / PC do B / PT do B;250.467;1,17%;eleito
DURVAL ORLATO;1355;PT;PRB / PT / PR / PC do B / PT do B;31.114;0,15%;eliminado
EDSON DA PAZ (O CANTOR);1356;PT;PRB / PT / PR / PC do B / PT do B;2.268;0,01%;eliminado
JANIO RIBEIRO;1358;PT;PRB / PT / PR / PC do B / PT do B;10.089;0,05%;eliminado
PROFESSOR CESAR NUNES;1359;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
RUBINHO BASTOS;1360;PT;PRB / PT / PR / PC do B / PT do B;13.149;0,06%;eliminado
ARCELINO ARAUJO;1361;PT;PRB / PT / PR / PC do B / PT do B;3.502;0,02%;eliminado
REGINALDO PERNAMBUCANO;1362;PT;PRB / PT / PR / PC do B / PT do B;1.942;0,01%;eliminado
LULA;1363;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
CARLOS AQUINO;1364;PT;PRB / PT / PR / PC do B / PT do B;6.227;0,03%;eliminado
RENATO SIMÂES;1366;PT;PRB / PT / PR / PC do B / PT do B;63.796;0,30%;eliminado
PROFESSOR MOREIRA;1367;PT;PRB / PT / PR / PC do B / PT do B;8.856;0,04%;eliminado
DEVANIR RIBEIRO;1369;PT;PRB / PT / PR / PC do B / PT do B;127.952;0,60%;eleito
ZARATTINI;1370;PT;PRB / PT / PR / PC do B / PT do B;216.403;1,02%;eleito
NEIR÷ SILVA;1373;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
DR RONALDO BRESCIANI;1377;PT;PRB / PT / PR / PC do B / PT do B;886;0,00%;eliminado
MARIA LUCIA PRANDI;1378;PT;PRB / PT / PR / PC do B / PT do B;56.108;0,26%;eliminado
ANGELO BARRETO;1380;PT;PRB / PT / PR / PC do B / PT do B;15.409;0,07%;eliminado
JANETE PIETµ;1387;PT;PRB / PT / PR / PC do B / PT do B;144.529;0,68%;eleito
VALDECI CHIRANHA;1388;PT;PRB / PT / PR / PC do B / PT do B;2.671;0,01%;eliminado
VICENTINHO;1390;PT;PRB / PT / PR / PC do B / PT do B;141.068;0,66%;eleito
DOUGLAS MOREIRA;1393;PT;PRB / PT / PR / PC do B / PT do B;616;0,00%;eliminado
PAULO TEIXEIRA;1398;PT;PRB / PT / PR / PC do B / PT do B;134.479;0,63%;eleito
FRANCISCO CHAGAS;1399;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
JOAO ARAUJO;7000;PT DO B;PRB / PT / PR / PC do B / PT do B;8.637;0,04%;eliminado
PASTOR MARCOS DO EXêRCITO;7001;PT DO B;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
DR MARCAO DA MANCHA;7012;PT DO B;PRB / PT / PR / PC do B / PT do B;4.892;0,02%;eliminado
COCADINHA CRUZ;7020;PT DO B;PRB / PT / PR / PC do B / PT do B;253;0,00%;eliminado
MINEIRINHO;7040;PT DO B;PRB / PT / PR / PC do B / PT do B;732;0,00%;eliminado
SEVERINO RAMOS;7064;PT DO B;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
ALBINO MATOS GOMES;7090;PT DO B;PRB / PT / PR / PC do B / PT do B;2.466;0,01%;eliminado
PEZZOLO AMILCAR;3100;PHS;PSC / PHS;0;0,00%;eliminado
SARTORATO;3101;PHS;PSC / PHS;2.028;0,01%;eliminado
DR ANAMARIA HIRAKAWA;3103;PHS;PSC / PHS;1.736;0,01%;eliminado
ELIETE;3106;PHS;PSC / PHS;0;0,00%;eliminado
BETE VIDAL;3107;PHS;PSC / PHS;20;0,00%;eliminado
J‚ DO MAGR«O;3108;PHS;PSC / PHS;45;0,00%;eliminado
DANIEL DOS PRAZERES;3109;PHS;PSC / PHS;192;0,00%;eliminado
IRM«O DARCY;3111;PHS;PSC / PHS;188;0,00%;eliminado
BRUNO CORR“A;3112;PHS;PSC / PHS;176;0,00%;eliminado
MALUCO BELEZA;3113;PHS;PSC / PHS;12.304;0,06%;eliminado
LARISSA SOUZA;3114;PHS;PSC / PHS;0;0,00%;eliminado
MARQUINHO GUERRA;3117;PHS;PSC / PHS;360;0,00%;eliminado
TICIANO NEVES;3120;PHS;PSC / PHS;3.905;0,02%;eliminado
JO«O DA VIGILANCIA;3121;PHS;PSC / PHS;150;0,00%;eliminado
DONIZETI;3123;PHS;PSC / PHS;2.033;0,01%;eliminado
PROF SONIA;3125;PHS;PSC / PHS;0;0,00%;eliminado
BARBARA CATANI;3126;PHS;PSC / PHS;0;0,00%;eliminado
CACIQUE DAR«;3131;PHS;PSC / PHS;1.749;0,01%;eliminado
CASAGRANDE;3132;PHS;PSC / PHS;0;0,00%;eliminado
PROF HERMES;3133;PHS;PSC / PHS;3.359;0,02%;eliminado
DR GABRIEL;3134;PHS;PSC / PHS;212;0,00%;eliminado
DR NORBERTO;3135;PHS;PSC / PHS;145;0,00%;eliminado
EMANOEL MESSIAS SANTOS;3140;PHS;PSC / PHS;0;0,00%;eliminado
GERALDO DO POSTINHO;3141;PHS;PSC / PHS;194;0,00%;eliminado
DEBORA GODOI;3145;PHS;PSC / PHS;1.825;0,01%;eliminado
MARIO VIEIRA;3150;PHS;PSC / PHS;398;0,00%;eliminado
BIMBA;3151;PHS;PSC / PHS;451;0,00%;eliminado
JO«O LIGEIRO;3155;PHS;PSC / PHS;1.556;0,01%;eliminado
GILMAR DO NOVO MUNDO;3156;PHS;PSC / PHS;0;0,00%;eliminado
ARAMI O AZEITONA;3157;PHS;PSC / PHS;0;0,00%;eliminado
RONALDO CEZAR;3160;PHS;PSC / PHS;287;0,00%;eliminado
MIGUEL SILVA;3161;PHS;PSC / PHS;554;0,00%;eliminado
ROBERTA DO GADA;3162;PHS;PSC / PHS;0;0,00%;eliminado
Dê;3163;PHS;PSC / PHS;437;0,00%;eliminado
MANOEL ALELUIA;3164;PHS;PSC / PHS;168;0,00%;eliminado
JORGE LUIZ;3167;PHS;PSC / PHS;79;0,00%;eliminado
WILLIANS ROCHA-Zê BONITINHO;3168;PHS;PSC / PHS;108;0,00%;eliminado
MARCOS NEBLINA;3169;PHS;PSC / PHS;1.177;0,01%;eliminado
DR RENATO DO S«O JOSE;3174;PHS;PSC / PHS;168;0,00%;eliminado
WILSON TRINDADE;3177;PHS;PSC / PHS;558;0,00%;eliminado
PROFESSOR RODRIGO;3178;PHS;PSC / PHS;355;0,00%;eliminado
CALIXTO;3180;PHS;PSC / PHS;1.269;0,01%;eliminado
DIAS DO TOLDO;3182;PHS;PSC / PHS;347;0,00%;eliminado
POMARICO;3183;PHS;PSC / PHS;163;0,00%;eliminado
DEDê;3188;PHS;PSC / PHS;1.227;0,01%;eliminado
FµBIO GALAN;3190;PHS;PSC / PHS;430;0,00%;eliminado
JOSE DE SOUSA;3199;PHS;PSC / PHS;356;0,00%;eliminado
BENEDITO CAMPOS;2000;PSC;PSC / PHS;0;0,00%;eliminado
CORONEL GILSON LOPES;2001;PSC;PSC / PHS;11.304;0,05%;eliminado
MISSIONARIA NAZARE;2002;PSC;PSC / PHS;26.287;0,12%;eliminado
PEDRO ROESLER;2003;PSC;PSC / PHS;0;0,00%;eliminado
REV. WAGNER MOURA;2005;PSC;PSC / PHS;321;0,00%;eliminado
GERSON DO BASQUETE;2006;PSC;PSC / PHS;419;0,00%;eliminado
CLEBER DELALIBERA;2007;PSC;PSC / PHS;6.985;0,03%;eliminado
MARCO FELICIANO;2010;PSC;PSC / PHS;211.855;0,99%;eleito
MARCELO AGUIAR;2012;PSC;PSC / PHS;98.842;0,46%;eleito
CHICO NETO;2013;PSC;PSC / PHS;969;0,00%;eliminado
ARI BARCELLOS;2014;PSC;PSC / PHS;3.567;0,02%;eliminado
GISON SOARES;2015;PSC;PSC / PHS;1.3;0,01%;eliminado
SAMUEL SHAEL;2016;PSC;PSC / PHS;518;0,00%;eliminado
ANTONIO SANDOVAL;2017;PSC;PSC / PHS;2.298;0,01%;eliminado
TENENTE ORLANDO;2018;PSC;PSC / PHS;6.004;0,03%;eliminado
TYLDE DO CêLIO CLETO;2019;PSC;PSC / PHS;785;0,00%;eliminado
REGIS DE OLIVEIRA;2020;PSC;PSC / PHS;80.172;0,38%;eliminado
COPINA;2021;PSC;PSC / PHS;0;0,00%;eliminado
SILVIA PALMA;2022;PSC;PSC / PHS;2.163;0,01%;eliminado
NEY SANTOS;2023;PSC;PSC / PHS;40.321;0,19%;eliminado
PAULA CASTRO;2024;PSC;PSC / PHS;652;0,00%;eliminado
DR.CARLOS FARIA;2025;PSC;PSC / PHS;1.069;0,01%;eliminado
LUIZ TEOFILO;2026;PSC;PSC / PHS;0;0,00%;eliminado
JO«O LOCO;2027;PSC;PSC / PHS;3.313;0,02%;eliminado
WAGNER FIOROTTO;2028;PSC;PSC / PHS;1.018;0,00%;eliminado
DR. ANTONIO;2029;PSC;PSC / PHS;594;0,00%;eliminado
DALVAN;2030;PSC;PSC / PHS;2.704;0,01%;eliminado
DUDA VILELA;2031;PSC;PSC / PHS;6;0,03%;eliminado
CICERO FERNANDES;2033;PSC;PSC / PHS;701;0,00%;eliminado
MARCOS CUNHA;2034;PSC;PSC / PHS;12.279;0,06%;eliminado
PROF¶ ROSIRIS C‚NSOLO;2035;PSC;PSC / PHS;0;0,00%;eliminado
ROSEMAR BARACK OBAMA;2036;PSC;PSC / PHS;448;0,00%;eliminado
DR. LEONARDO LOURENÄO;2037;PSC;PSC / PHS;985;0,00%;eliminado
LAURA SOARES;2038;PSC;PSC / PHS;0;0,00%;eliminado
BELLINY;2039;PSC;PSC / PHS;0;0,00%;eliminado
PR. LUIZ LEMOS;2040;PSC;PSC / PHS;17.309;0,08%;eliminado
PR¶ ADRIANA;2041;PSC;PSC / PHS;558;0,00%;eliminado
QUEIROZ PIRIQUITA;2042;PSC;PSC / PHS;1.457;0,01%;eliminado
