TIRSO MEIRELLES;4541;PSDB;PPS / DEM / PSDB;23524;eliminado
BATORÉ;1122;PP;;23046;eliminado
PEDRO MANHÃES;4323;PV;;22149;eliminado
EDUARDO PALHARES;4394;PV;;22013;eliminado
ACIR FILÓ;1291;PDT;;20950;eliminado
CHINELO;4023;PSB;PSL / PSB;20284;eliminado
MIGUEL SAMPAIO;4099;PSB;PSL / PSB;19116;eliminado
ALE YOUSSEF;4340;PV;;18562;eliminado
WALTER CAVEANHA;1466;PTB;;18389;eliminado
JOVINO CÂNDIDO;4333;PV;;18145;eliminado
DR DAVI;3322;PMN;;17978;eliminado
DR. RAUL;4366;PV;;17936;eliminado
LINDOLFO DOS SANTOS;1255;PDT;;17610;eliminado
RAUL GIL JR;2536;DEM;PPS / DEM / PSDB;17419;eliminado
ENG PAULINHO;4325;PV;;17326;eliminado
GILBERTO ABREU;4301;PV;;17312;eliminado
PR. LUIZ LEMOS;2040;PSC;PSC / PHS;17309;eliminado
DR. SAMIR NASSBINE;1599;PMDB;;17210;eliminado
DR. ÂNGELO;4345;PV;;16815;eliminado
ROQUE FERREIRA;1328;PT;PRB / PT / PR / PC do B / PT do B;16749;eliminado
CELIO DINIZ;1454;PTB;;16716;eliminado
DR ANDRE SACCO;4535;PSDB;PPS / DEM / PSDB;16634;eliminado
CABO WILSON;1154;PP;;16517;eliminado
GILBERTO BENZI;1231;PDT;;15647;eliminado
ANGELO BARRETO;1380;PT;PRB / PT / PR / PC do B / PT do B;15409;eliminado
VAMPETA;1405;PTB;;15300;eliminado
SARGENTO SEVERO;1718;PSL;PSL / PSB;15043;eliminado
ISRAEL LACERDA;1469;PTB;;14984;eliminado
TONINHO GARMS;4050;PSB;PSL / PSB;14924;eliminado
DANIEL ROSSI;3366;PMN;;14291;eliminado
CAPITÃO GOMES;1119;PP;;14172;eliminado
WALDOMIRO RAMOS;1440;PTB;;14160;eliminado
SIDNEI ARANHA;4383;PV;;14062;eliminado
MANOEL MARCOS (MANÉ);4514;PSDB;PPS / DEM / PSDB;14060;eliminado
GILBERTO BORJA;4589;PSDB;PPS / DEM / PSDB;13895;eliminado
CESAR CORTEZ;4320;PV;;13781;eliminado
LUCIANO ARTIOLI;2530;DEM;PPS / DEM / PSDB;13648;eliminado
HIRAM JR;2560;DEM;PPS / DEM / PSDB;13550;eliminado
JORGE WILSON;1188;PP;;13498;eliminado
MAURICIO HAKA;1158;PP;;13450;eliminado
JUCA CHAVES;2200;PR;PRB / PT / PR / PC do B / PT do B;13217;eliminado
RUBINHO BASTOS;1360;PT;PRB / PT / PR / PC do B / PT do B;13149;eliminado
MARCELO MARIANO;1198;PP;;12938;eliminado
MAURICIO SOARES JUNIOR;1244;PDT;;12766;eliminado
